Data Table for Weekly Deaths - The United States,,,
Date generated: Tue Jul 18 2023 15:19:22 GMT-0400 (Eastern Daylight Time),,,
Geography,Date,Weekly Deaths,Death Data As Of
United States,Dec 19 2020,22314,Jul 12 2023
United States,Dec 12 2020,20913,Jul 12 2023
United States,Dec  5 2020,18545,Jul 12 2023
United States,Nov 28 2020,15615,Jul 12 2023
United States,Nov 21 2020,13343,Jul 12 2023
United States,Nov 14 2020,10644,Jul 12 2023
United States,Nov  7 2020,8754,Jul 12 2023
United States,Oct 31 2020,7019,Jul 12 2023
United States,Oct 24 2020,5990,Jul 12 2023
United States,Oct 17 2020,5195,Jul 12 2023
United States,Oct 10 2020,4813,Jul 12 2023
United States,Oct  3 2020,4240,Jul 12 2023
United States,Sep 26 2020,4296,Jul 12 2023
United States,Sep 19 2020,4273,Jul 12 2023
United States,Sep 12 2020,4618,Jul 12 2023
United States,Sep  5 2020,5010,Jul 12 2023
United States,Aug 29 2020,5739,Jul 12 2023
United States,Aug 22 2020,6374,Jul 12 2023
United States,Aug 15 2020,7248,Jul 12 2023
United States,Aug  8 2020,7848,Jul 12 2023
United States,Aug  1 2020,8285,Jul 12 2023
United States,Jul 25 2020,8229,Jul 12 2023
United States,Jul 18 2020,7166,Jul 12 2023
United States,Jul 11 2020,5770,Jul 12 2023
United States,Jul  4 2020,4540,Jul 12 2023
United States,Jun 27 2020,3835,Jul 12 2023
United States,Jun 20 2020,3844,Jul 12 2023
United States,Jun 13 2020,4227,Jul 12 2023
United States,Jun  6 2020,5046,Jul 12 2023
United States,May 30 2020,6160,Jul 12 2023
United States,May 23 2020,7229,Jul 12 2023
United States,May 16 2020,9229,Jul 12 2023
United States,May  9 2020,11223,Jul 12 2023
United States,May  2 2020,13200,Jul 12 2023
United States,Apr 25 2020,15525,Jul 12 2023
United States,Apr 18 2020,17201,Jul 12 2023
United States,Apr 11 2020,16306,Jul 12 2023
United States,Apr  4 2020,10113,Jul 12 2023
United States,Mar 28 2020,3211,Jul 12 2023
United States,Mar 21 2020,586,Jul 12 2023
United States,Mar 14 2020,60,Jul 12 2023
United States,Mar  7 2020,38,Jul 12 2023
United States,Feb 29 2020,9,Jul 12 2023
United States,Feb 22 2020,6,Jul 12 2023
United States,Feb 15 2020,6,Jul 12 2023
United States,Feb  8 2020,4,Jul 12 2023
United States,Feb  1 2020,0,Jul 12 2023
United States,Jan 25 2020,3,Jul 12 2023
United States,Jan 18 2020,2,Jul 12 2023
United States,Jan 11 2020,1,Jul 12 2023
United States,Jan 4 2020,0,Jul 12 2023
